Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Viseling,c13,Near Mint,English,,,2023-04-06 15:04:39.182766,269,False,False,
1,1,Spoils of Victory,c13,Near Mint,English,,,2023-04-06 15:04:39.183270,172,False,False,
1,1,Magus of the Coffers,c14,Near Mint,English,,,2023-04-06 15:04:39.183773,148,False,False,
1,1,Return to Dust,c14,Near Mint,English,,,2023-04-06 15:04:39.184279,85,False,False,
1,1,Kodama's Reach,c15,Near Mint,English,,,2023-04-06 15:04:39.184781,188,False,False,
1,1,Aura of Silence,c15,Near Mint,English,,,2023-04-06 15:04:39.185279,60,False,False,
1,1,Fumiko the Lowblood,c15,Near Mint,English,,,2023-04-06 15:04:39.185779,155,False,False,
1,1,Mind Stone,c15,Near Mint,English,,,2023-04-06 15:04:39.186282,259,False,False,
1,1,Sun Titan,c15,Near Mint,English,,,2023-04-06 15:04:39.186788,82,False,False,
1,1,Worm Harvest,c16,Near Mint,English,,,2023-04-06 15:04:39.187289,238,False,False,
1,1,Blood Artist,c17,Near Mint,English,,,2023-04-06 15:04:39.187791,99,False,False,
1,1,Magus of the Abyss,c17,Near Mint,English,,,2023-04-06 15:04:39.188303,115,False,False,
1,1,Sol Ring,c18,Near Mint,English,,,2023-04-06 15:04:39.188841,222,False,False,
2,1,Archetype of Imagination,c18,Near Mint,English,,,2023-04-06 15:04:39.189423,81,False,False,
1,1,Night Incarnate,c18,Near Mint,English,,,2023-04-06 15:04:39.189945,17,False,False,
1,1,Jund Panorama,c18,Near Mint,English,,,2023-04-06 15:04:39.190443,258,False,False,
1,1,Bojuka Bog,c18,Near Mint,English,,,2023-04-06 15:04:39.190948,238,False,False,
1,1,Sol Ring,c19,Near Mint,English,,,2023-04-06 15:04:39.191449,221,False,False,
1,1,Burnished Hart,c19,Near Mint,English,,,2023-04-06 15:04:39.191950,211,False,False,
3,1,Commander's Sphere,c19,Near Mint,English,,,2023-04-06 15:04:39.192450,212,False,False,
1,1,"Garruk, Primal Hunter",c19,Near Mint,English,,,2023-04-06 15:04:39.192952,167,False,False,
1,1,Lightning Greaves,c19,Near Mint,English,,,2023-04-06 15:04:39.193451,217,False,False,
1,1,Myriad Landscape,c19,Near Mint,English,,,2023-04-06 15:04:39.193952,261,False,False,
1,1,Bane of the Living,c19,Near Mint,English,,,2023-04-06 15:04:39.194450,104,False,False,
1,1,Secrets of the Dead,c19,Near Mint,English,,,2023-04-06 15:04:39.194948,95,False,False,
1,1,Temple of the False God,c19,Near Mint,English,,,2023-04-06 15:04:39.195451,280,False,False,
1,1,Sunken Hollow,c19,Near Mint,English,,,2023-04-06 15:04:39.195950,278,False,False,
1,1,Yavimaya Coast,c20,Near Mint,English,,,2023-04-06 15:04:39.196451,322,False,False,
1,1,Species Specialist,c20,Near Mint,English,,,2023-04-06 15:04:39.196952,47,False,False,
1,1,Mulldrifter,c20,Near Mint,English,,,2023-04-06 15:04:39.197451,117,False,False,
1,1,Taste of Death,c21,Near Mint,English,,,2023-04-06 15:04:39.197949,156,False,False,
1,1,Ponder,c21,Near Mint,English,,,2023-04-06 15:04:39.198449,125,False,False,
1,1,Promise of Loyalty,c21,Near Mint,English,,,2023-04-06 15:04:39.198950,21,False,False,
1,1,Commander's Insight,c21,Near Mint,English,,,2023-04-06 15:04:39.199456,23,False,False,
1,1,Butcher of Malakir,cma2,Near Mint,English,,,2023-04-06 15:04:39.199970,50,False,False,
1,1,Farhaven Elf,cma2,Near Mint,English,,,2023-04-06 15:04:39.200480,109,False,False,
1,1,Thornwind Faeries,cma2,Near Mint,English,,,2023-04-06 15:04:39.200995,42,False,False,
1,1,Satyr Wayfinder,cma2,Near Mint,English,,,2023-04-06 15:04:39.201508,143,False,False,
1,1,Curse of the Nightly Hunt,cm2,Near Mint,English,,,2023-04-06 15:04:39.202018,90,False,False,
1,1,Exotic Orchard,cm2,Near Mint,English,,,2023-04-06 15:04:39.202534,250,False,False,
1,1,Underground River,cm2,Near Mint,English,,,2023-04-06 15:04:39.203051,275,False,False,
1,1,Soul of Eternity,cmr,Near Mint,English,,,2023-04-06 15:04:39.203575,50,False,False,
1,1,Expedite,cmr,Near Mint,English,,,2023-04-06 15:04:39.204102,413,False,False,
1,1,Deranged Assistant,cmr,Near Mint,English,,,2023-04-06 15:04:39.204625,65,False,False,
